名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
あわあわサンタのセリリ,★7,たいりょく,青,赤,4828,12646,1186,込み,シート,5.0,,,味方全体の攻撃力減少、回復力減少を解除する さらに2ターンの間、このカードの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を9倍にする,味方全体の攻撃力を5倍、体力を3.5倍、回復力を2倍にし、なぞり消し数を3個増やす さらに通常攻撃時のみ連鎖係数を1.2倍にし、相手ターン終了時にフィールド上の色ぷよをランダムで6個「プラス状態」にする,①味方全体が体力0になっても、1回のみ「体力1」で踏みとどまる ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5%アップする(このとくもりスキルは重複可能),
あんどうりんご,★6,こうげき,緑,赤,2620,4280,310,なし,シート,3.8,,,1ターンの間、同じ色ぷよが3個で消える｢とくべつルール｣を発動し、味方全体の連鎖係数を4倍にする　このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を3.8倍、体力を3倍にし、一度に消せるぷよ数を2個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を4減らす,,
あんどうりんご,★7,こうげき,緑,赤,5942,9814,1080,込み,シート,4.8,,,1ターンの間、同じ色ぷよが3個で消える｢とくべつルール｣を発動し、味方全体の連鎖係数を5倍にする　このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を4.8倍、体力を3.5倍にし、一度に消せるぷよ数を3個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を5減らす,,
いきなり探偵プーボ＆ゼロ,★6,たいりょく,青,紫,2290,5330,300,なし,シート,3.0,n属性以上の同時攻撃×3.5,,味方全体の状態異常を解除し、2ターンの間、3属性以上の同時攻撃で味方全体の攻撃力を3.5倍にする,味方全体の攻撃力を3倍、体力を2.5倍にし、なぞり消し数を2個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を3減らす,,
いきなり探偵プーボ＆ゼロ,★7,たいりょく,青,紫,4841,12561,1105,込み,シート,4.8,n属性以上の同時攻撃×5.0,,味方全体の状態異常を解除し、2ターンの間、3属性以上の同時攻撃で味方全体の攻撃力を5倍にする,味方全体の攻撃力を4.8倍、体力を3.5倍にし、なぞり消し数を3個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を5減らす,,
いさましいフレッド,★6,こうげき,紫,赤,2548,4138,265,なし,シート,4.0,n個以上の同時消し×4.0(LS時のみ),,フィールド上の色ぷよをすべてむらさきぷよに変え、その後のフィールド上の色ぷよをランダムで9個プリズムボールに変える,味方全体の体力を3倍にし、10個以上の同時消しで攻撃力を4倍にする,,
いさましいフレッド,★7,こうげき,紫,赤,5777,9504,1005,込み,シート,5.2,n個以上の同時消し×5.2(LS時のみ); プリズム効果アップ×3.2,,フィールド上の色ぷよをすべてむらさきぷよに変え、その後フィールド上の色ぷよをランダムで13個プリズムボールに変える,味方全体の体力を3.5倍にし、8個以上の同時消しで攻撃力を5.2倍にする,プリズムボールを消した時の効果を3.2倍する,
いたずらなゼノン,★6,バランス,赤,紫,2110,4120,690,なし,シート,3.5,〇属性を含む攻撃×3.0,,2ターンの間、赤属性と紫属性を含む攻撃でバランスタイプの攻撃力を3倍にする,バランスタイプの攻撃力を3.5倍、体力と回復力を2.5倍にし、通常攻撃時のみプリズムボールを1個消すごとにスキル発動ぷよ数を1減らす クエスト出発時1回のみ色ぷよをランダムで3個プリズムボールに変える,,
いたずらなゼノン,★7,バランス,赤,紫,4509,9080,1512,込み,シート,4.0,〇属性を含む攻撃×4.2,,2ターンの間、赤属性と紫属性を含む攻撃でバランスタイプの攻撃力を4.2倍にする,バランスタイプの攻撃力を4倍、体力と回復力を3倍にし、通常攻撃時のみプリズムボールを1個消すごとにスキル発動ぷよ数を1減らす クエスト出発時1回のみ色ぷよをランダムで4個プリズムボールに変える,,
いたずら妖精,★6,こうげき,,,,,,,シート,2.0,,,敵単体に「こうげき」×10の属性攻撃を与え、 さらに相手を2回「混乱」状態にする,味方全体の攻撃タイプの攻撃力が2倍、 自属性の体力が1.8倍になる,,
いたずら妖精,★7,こうげき,,,,,,,シート,3.0,,,相手単体にこのカードの「こうげき」×15の属性攻撃を与え、2回「混乱」状態にする,自属性カードとこうげきタイプの攻撃力と体力を3倍にする,,
いたわりのグレタ,★6,こうげき,青,紫,2080,3640,250,なし,シート,3.0,,,相手単体にこのカードの「こうげき」×20の属性攻撃を与え、ターン数を＋2する,青属性カードとこうげきタイプの攻撃力を3倍、回復力を1.5倍にし、体力MAXの時に限り、青属性カードとこうげきタイプの体力が0になっても「体力１」で踏みとどまる,,
いたわりのグレタ,★7,こうげき,青,紫,4728,7769,786,込み,シート,3.8,,,相手単体にこのカードの「こうげき」×25の属性攻撃を与え、ターン数を＋2する,青属性カードとこうげきタイプの攻撃力を3.8倍、回復力を1.5倍にし、体力MAXの時に限り、青属性カードとこうげきタイプの体力が0になっても「体力１」で踏みとどまる,,
いつものかわいいぷにる,★7,たいりょく,紫,,3630,11096,804,込み,シート,3.0,攻撃エンハ×3.5,,2ターンの間、味方全体の攻撃力を3.5倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを10個までむらさきぷよにぬりかえる,味方全体の攻撃力と体力を3倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる,,
いねむり夢魔,★6,かいふく,,,,,,,シート,1.5,,,,自属性カードの回復力を2倍、攻撃力を1.5倍にする,,
いねむり夢魔,★7,かいふく,,,,,,,シート,4.0,,,,自属性カードの攻撃力を4倍、回復力を3倍にする,,
うきうきのシグ,★7,こうげき,青,紫,5974,9857,1153,込み,シート,4.0,フィールド:雨×1.5(LS時のみ),,2ターンの間、ネクストぷよをあおぷよに変え、通常攻撃時のみ青属性カードと紫属性カードのあおぷよ、むらさきぷよを消したときに発生する数値を6.2倍にする,青属性カードの攻撃力を4倍、体力を3.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで4個チャンスぷよに変える さらに通常攻撃時のみ3連鎖以上で相手のターン終了時から3ターンの間、フィールド効果を「雨」にする,なぞり消し数を2個増やす,
うさぎどしのフリード,★7,たいりょく,青,緑,3657,11045,750,込み,シート,3.5,,,3ターンの間、青属性カードとたいりょくタイプの通常攻撃を「こうげき」×1.6の2連続攻撃にし、さらに相手全体にこのカードの「こうげき」×3の属性攻撃を与え、3ターンの間、「毒」状態にする,青属性カードとたいりょくタイプの攻撃力を3.5倍、体力を3.2倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで3個チャンスぷよに変える,,
うさぎのテラちゃん,★7,バランス,青,赤,4383,8980,1666,込み,シート,3.5,n属性以上の同時攻撃×3.5,,2ターンの間、4属性以上の同時攻撃で青属性カードとバランスタイプの攻撃力を3.5倍にする,青属性カードとバランスタイプの攻撃力を3.5倍、体力を3.2倍にする,,
うさぎウト・S,★6,かいふく,紫,青,2007,5083,1997,込み,シート,2.2,,,相手単体に「300000」の無属性ダメージを与える,スタメンのカードが2色以上から1色増えるごとに全属性の攻撃力と回復力の倍率に0.3倍プラス,,
うさぎシグ,★6,たいりょく,青,,2022,6423,631,込み,シート,1.0,,,ターン経過せずに、なぞったぷよを 最大4個まであおぷよに変える,青属性の体力と回復力が1.6倍になる,,
うさぎ王子,★5,バランス,黄,,1912,4322,857,込み,シート,1.0,,,5ターンの間、黄属性カードが「こうげき」 ×1の追加攻撃をする,黄属性カードの攻撃力を1000アップ,,
うさぎ頭のフリード,★6,たいりょく,青,緑,,,,,シート,3.0,,,2ターンの間、青属性カードとたいりょくタイプの通常攻撃を「こうげき」×1.4の2連続攻撃にし、さらに相手全体にこのカードの「こうげき」×2の属性攻撃を与え、2ターンの間、「毒」状態にする,青属性カードとたいりょくタイプの攻撃力を3倍、体力を2.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで2個チャンスぷよに変える,,
うさぐるみぃ,★6,たいりょく,黄,,1074,5704,480,なし,シート,1.0,,,黄属性カードの、最大体力の50%を回復,体力タイプの回復力を1000アップ,,
うさぐるみぃ,★7,たいりょく,黄,,2650,12497,1128,込み,シート,1.0,,,黄属性カードの、最大体力の80%を回復,黄属性カードの体力と回復力を3倍にする,,
うすやみのDGアルル,★6,バランス,赤,紫,2254,4128,753,なし,シート,4.2,同時攻撃の属性数×4.2(LS時のみ),,フィールド内の好きな場所のぷよを5個までプリズムボールにぬりかえる,味方全体の体力を3倍にし、さらに2属性以上の同時攻撃で1属性につき攻撃倍率0.8倍プラス（最大4.2倍）,,
うすやみのDGアルル,★7,バランス,赤,紫,4969,9592,1697,込み,シート,5.2,同時攻撃の属性数×5.2(LS時のみ); 攻撃エンハ(特盛無条件)×1.5; プリズム効果アップ×3.2,,フィールド内の好きな場所のぷよを13個までプリズムボールにぬりかえる,味方全体の体力を3.5倍にし、さらに2属性以上の同時攻撃で1属性につき攻撃倍率に1.05倍プラス(最大5.2倍),①味方全体の攻撃力を1.5倍にする ②プリズムボールを消した時の効果を3.2倍する,
うたかたのフェーリ,★6,こうげき,紫,青,2640,4310,400,なし,シート,4.2,与ダメアップ×3.5,怯え×2,相手全体を3ターンの間、「怯え」状態にする さらに2ターンの間、味方全体の相手に与えるダメージを3.5倍にし、味方ターン終了時に味方全体の状態異常を解除する,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみむらさきぷよかあおぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに毎ターン、味方全体に最大体力の7％の回復,,
